crtr_ymd,stn_id,stn_nm,day_avg_tp,day_hghst_tp,day_lowst_tp
20200101,184,제주,5.2,7.3,2.4
20200102,184,제주,8.1,9.2,5.5
20200103,184,제주,8.8,11.4,6.4
20200104,184,제주,7.9,11.4,5.1
20200105,184,제주,8.5,11.1,4.3
20200106,184,제주,14.5,18.9,10.1
20200107,184,제주,19.2,23.6,12.8
20200108,184,제주,8.1,13.2,6.9
20200109,184,제주,7.3,8.2,6.7
20200110,184,제주,8.0,11.0,4.3
20200111,184,제주,8.0,9.1,6.9
20200112,184,제주,7.5,8.5,6.7
20200113,184,제주,7.1,8.8,6.1
20200114,184,제주,4.8,6.2,3.4
20200115,184,제주,5.6,7.2,4.6
20200116,184,제주,6.3,8.0,4.6
20200117,184,제주,6.9,9.2,6.0
20200118,184,제주,7.0,9.0,6.2
20200119,184,제주,8.6,10.0,5.9
20200120,184,제주,8.4,10.9,7.1
20200121,184,제주,7.4,10.5,4.9
20200122,184,제주,11.4,13.5,8.6
20200123,184,제주,11.2,13.6,10.5
20200124,184,제주,11.3,12.7,9.5
20200125,184,제주,11.9,14.0,10.6
20200126,184,제주,11.6,13.0,10.6
20200127,184,제주,9.8,11.5,8.1
20200128,184,제주,9.9,11.1,9.1
20200129,184,제주,9.6,11.3,8.5
20200130,184,제주,8.3,10.2,7.5
20200131,184,제주,7.2,8.0,5.9
20200201,184,제주,8.2,10.9,4.5
20200202,184,제주,7.7,10.7,6.0
20200203,184,제주,6.9,9.3,5.1
20200204,184,제주,5.6,8.2,2.6
20200205,184,제주,3.4,7.7,1.2
20200206,184,제주,3.3,5.4,0.8
20200207,184,제주,6.4,8.9,4.8
20200208,184,제주,6.9,9.0,4.7
20200209,184,제주,6.6,8.9,4.9
20200210,184,제주,10.6,14.1,6.1
20200211,184,제주,11.2,15.1,6.7
20200212,184,제주,13.3,16.7,11.1
20200213,184,제주,12.3,14.9,11.1
20200214,184,제주,13.6,16.4,11.1
20200215,184,제주,16.2,21.6,12.2
20200216,184,제주,5.4,12.5,3.0
20200217,184,제주,2.6,4.2,0.8
